arm,game,idx,iteration,parents,depth,train_score,is_ship,on_ship_lineage,status,err_rate,split,code_chars,code_lines,sloc,ast_nodes,n_frames,n_unique_outputs,set_ratio,decoy_collapse,mean_raw_chars,mean_out_chars,dl_ratio,diversity_bytes,raw_gzip_bytes,norm_diversity,info_extraction_ratio,lzma_ratio,twopart_ratio,pf_dl_gz_ratio,code_gzip_bytes,out_vocab,n_transitions,static_rate,change_ratio
Plain,7www9,25,34,21,3,0.0,0,0,syntax,1.0,test,2380,68,53,-1,50,1,0.02,,2330.08,0.0,0.0,24,1226,0.01957585644371941,0.2852804003192737,0.0825242718446602,0.9176182707993474,0.0,1101,0,50,1.0,0.0
Plain,7www9,25,34,21,3,0.0,0,0,syntax,1.0,train,2380,68,53,-1,56,1,0.017857142857142856,1.0,2330.1071428571427,0.0,0.0,24,1383,0.01735357917570499,0.28379251256450777,0.0735930735930736,0.8134490238611713,0.0,1101,0,60,1.0,0.0
Plain,7www9,26,35,21,3,0.0,0,0,runtime,1.0,test,1870,63,45,393,50,1,0.02,,2330.08,0.0,0.0,24,1226,0.01957585644371941,0.2852804003192737,0.0825242718446602,0.6818923327895595,0.0,812,0,50,1.0,0.0
Plain,7www9,26,35,21,3,0.0,0,0,runtime,1.0,train,1870,63,45,393,56,1,0.017857142857142856,1.0,2330.1071428571427,0.0,0.0,24,1383,0.01735357917570499,0.28379251256450777,0.0735930735930736,0.6044830079537238,0.0,812,0,60,1.0,0.0
Plain,7www9,27,37,20,7,0.876268115942029,0,0,ok,0.0,test,3425,103,77,693,50,50,1.0,,2330.08,89.78,0.03853086589301655,649,1226,0.5293637846655791,1.304460863831101,0.8155339805825242,1.6590538336052203,1.280019942340851,1385,103,50,0.02,1.510204081632653
Plain,7www9,27,37,20,7,0.876268115942029,0,0,ok,0.0,train,3425,103,77,693,56,56,1.0,0.0,2330.1071428571427,89.28571428571429,0.0383182870192971,705,1383,0.5097613882863341,1.2986659784596986,0.7835497835497836,1.5112075198843096,1.2668933892743333,1385,115,60,0.05,1.5614035087719298
Plain,7www9,28,38,13,5,0.8462862318840579,0,0,ok,0.0,test,8376,217,159,1474,50,50,1.0,,2330.08,75.24,0.03229073679873652,401,1226,0.3270799347471452,1.1267004181475977,0.5194174757281553,2.466557911908646,1.0728532475429784,2623,90,50,0.02,1.2244897959183674
Plain,7www9,28,38,13,5,0.8462862318840579,0,0,ok,0.0,train,8376,217,159,1474,56,56,1.0,0.0,2330.1071428571427,74.57142857142857,0.03200343331851693,422,1383,0.3051337671728127,1.1159312848389322,0.47619047619047616,2.2017353579175705,1.0584164999543333,2623,107,60,0.05,1.4298245614035088
Plain,7www9,29,39,23,6,0.9255434782608696,0,0,ok,0.0,test,5194,148,102,903,50,50,1.0,,2330.08,55.56,0.023844674860948982,391,1226,0.3189233278955954,0.9188914950542242,0.4854368932038835,1.904567699836868,0.7922787295766457,1944,52,50,0.02,0.7551020408163265
Plain,7www9,29,39,23,6,0.9255434782608696,0,0,ok,0.0,train,5194,148,102,903,56,56,1.0,0.0,2330.1071428571427,54.92857142857143,0.023573410174271572,416,1383,0.3007953723788865,0.9096820175259662,0.45454545454545453,1.7064352856109906,0.7794180671839054,1944,58,60,0.05,0.7807017543859649
Plain,7xf97,0,,,0,0.0,0,1,collapsed,0.0,test,1109,36,29,164,65,1,0.015384615384615385,,2319.476923076923,0.0,0.0,24,1735,0.0138328530259366,0.213561140822199,0.04632152588555858,0.32449567723342937,0.0,539,0,50,1.0,0.0
Plain,7xf97,0,,,0,0.0,0,1,collapsed,0.0,train,1109,36,29,164,73,1,0.0136986301369863,1.0,2319.6575342465753,0.0,0.0,24,2044,0.011741682974559686,0.21854515367779634,0.03944315545243619,0.275440313111546,0.0,539,0,60,1.0,0.0
Plain,7xf97,1,1,0,1,0.20677730496453903,0,0,ok,0.0,test,2385,73,55,365,65,65,1.0,,2319.476923076923,295.9076923076923,0.12757518273350754,1028,1735,0.592507204610951,1.2649404464330176,0.6512261580381471,1.1827089337175793,3.1458073994194145,1024,134,50,0.18,1.1646341463414633
Plain,7xf97,1,1,0,1,0.20677730496453903,0,0,ok,0.0,train,2385,73,55,365,73,73,1.0,0.0,2319.6575342465753,283.4931506849315,0.1222133640416925,1337,2044,0.6541095890410958,1.2556742618316283,0.7099767981438515,1.1550880626223092,3.057562487714866,1024,170,60,0.25,1.04
Plain,7xf97,2,3,0,1,0.3333971631205674,0,1,ok,0.0,test,2583,79,58,380,65,65,1.0,,2319.476923076923,295.9076923076923,0.12757518273350754,1027,1735,0.5919308357348703,1.255440082685983,0.6648501362397821,1.2720461095100866,3.1458073994194145,1180,65,50,0.18,0.5934959349593496
